# Fri Apr  4 17:49:51 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 2 0.0377961 2 0 0.00402183 
3000 3 0.483972 3 0 0.103131 
4000 2 0.510304 2 0 0.113473 
5000 2 0.717192 2 0 0.197644 
6000 3 0.797905 3 0 0.191324 
7000 4 1.3533 4 0.0422292 0.359379 
8000 4 1.49631 4 0.154266 0.524562 
9000 4 1.43381 4 0.0859195 0.416667 
10000 4 1.44616 4 0.16231 0.507325 
11000 4 1.29563 4 0.171502 0.4763 
12000 4 1.46763 4 0.173801 0.53002 
13000 4 1.4368 4 0.174375 0.521976 
14000 4 1.48694 4 0.114335 0.46366 
15000 4 1.32448 4 0.132146 0.426027 
16000 4 1.38052 4 0.0887676 0.398161 
17000 4 1.36166 4 0.0812985 0.385234 
18000 4 1.36935 4 0.0632002 0.379489 
19000 4 1.40962 4 0.0718184 0.396438 
20000 4 1.46618 4 0.100833 0.443551 
21000 4 1.459 4 0.101408 0.442689 
22000 4 1.44723 4 0.129885 0.465517 
23000 4 1.37246 4 0.0922414 0.402874 
24000 4 1.43728 4 0.126975 0.457914 
25000 4 1.39267 4 0.108621 0.422126 
26000 4 1.25323 4 0.0827348 0.347601 
27000 4 1.34631 4 0.121804 0.419994 
28000 4 1.25962 4 0.0597529 0.332376 
29000 4 1.25029 4 0.132759 0.410632 
30000 4 1.3177 4 0.165182 0.469405 
31000 4 1.24382 4 0.19075 0.48262 
32000 4 1.30015 4 0.136742 0.424303 
33000 4 1.35034 4 0.198793 0.524275 
34000 4 1.49368 4 0.160586 0.529158 
35000 4 1.39877 4 0.123851 0.454885 
36000 4 1.27909 4 0.122379 0.411663 
37000 4 1.4057 4 0.116059 0.436943 
38000 4 1.44213 4 0.128411 0.461936 
39000 4 1.4752 4 0.121517 0.471991 
40000 4 1.50286 4 0.144786 0.50474 
41000 4 1.26561 4 0.128124 0.402471 
42000 4 1.30295 4 0.127874 0.414368 
43000 4 1.33246 4 0.14023 0.443966 
44000 4 1.31712 4 0.116059 0.403907 
45000 4 1.31483 4 0.128986 0.419994 
46000 4 1.22184 4 0.108877 0.373169 
47000 4 1.28622 4 0.0767021 0.353921 
48000 4 1.3461 4 0.108046 0.404598 
49000 4 1.30534 4 0.0887676 0.371158 
50000 4 1.28718 4 0.066073 0.345016 
51000 4 1.54168 4 0.115197 0.505602 
52000 4 1.44389 4 0.114622 0.467682 
53000 4 1.4551 4 0.0726803 0.422292 
54000 4 1.48187 4 0.10744 0.465958 
55000 4 1.37804 4 0.0778512 0.393565 
56000 4 1.46832 4 0.12324 0.485205 
57000 4 1.44804 4 0.10112 0.446998 
58000 4 1.31319 4 0.0422292 0.341856 
59000 4 1.43668 4 0.0991095 0.431772 
60000 4 1.41258 4 0.0959494 0.417696 
61000 4 1.36687 4 0.137604 0.45734 
62000 4 1.39651 4 0.105142 0.424303 
63000 4 1.37995 4 0.0620511 0.382074 
64000 4 1.34489 4 0.108302 0.411089 
65000 4 1.52313 4 0.117495 0.485493 
66000 4 1.48242 4 0.0953749 0.445849 
67000 4 1.41117 4 0.0476874 0.389256 
68000 4 1.46589 4 0.0465384 0.411663 
69000 4 1.48642 4 0.0560184 0.426314 
70000 4 1.4478 4 0.0413674 0.403332 
71000 4 1.43669 4 0.0485632 0.397989 
72000 4 1.34378 4 0.0221201 0.356507 
73000 4 1.36125 4 0.0258546 0.361965 
74000 4 1.51242 4 0.078713 0.446136 
75000 4 1.39188 4 0.0683712 0.38782 
76000 4 1.34157 4 0.115771 0.414536 
77000 4 1.55858 4 0.182706 0.571962 
78000 4 1.36073 4 0.12439 0.429762 
79000 4 1.40723 4 0.13588 0.466533 
80000 4 1.2961 4 0.160873 0.456478 
81000 4 1.18574 4 0.108621 0.354598 
82000 4 1.03644 4 0.0867567 0.293594 
83000 4 0.848157 4 0.103993 0.270612 
84000 4 0.651478 4 0.0761275 0.191899 
85000 4 0.39354 4 0.062913 0.131571 
86000 4 0.36581 4 0.0505602 0.109451 
87000 4 0.661131 4 0.0841712 0.205688 
88000 4 0.475042 4 0.0456765 0.12008 
89000 4 0.467814 4 0.0640621 0.143062 
90000 4 0.444946 4 0.0626257 0.137604 
91000 4 0.37812 4 0.0453893 0.103706 
92000 4 0.394832 4 0.0491238 0.111462 
93000 4 0.403864 4 0.0637748 0.134444 
94000 4 0.325389 4 0.0445274 0.0959494 
95000 4 0.319626 4 0.0364838 0.0835967 
96000 4 0.323788 4 0.0410801 0.0907785 
97000 4 0.429564 4 0.0778512 0.15915 
98000 4 0.470543 4 0.0669348 0.148233 
99000 4 0.373949 4 0.0468256 0.105142 
100000 4 0.400003 4 0.0462511 0.108015 
