# Avida resource data
# Sat Feb 22 19:37:55 2014
# First column gives the current update, all further columns give the quantity
# of the particular resource at that update.
#  1: Update
#  2: resNOT
#  3: resNAND
#  4: resAND
#  5: resORN
#  6: resOR
#  7: resANDN
#  8: resNOR
#  9: resXOR
# 10: resNOT2
# 11: resNAND2
# 12: resAND2
# 13: resORN2
# 14: resOR2
# 15: resANDN2
# 16: resNOR2
# 17: resXOR2
# 18: resEQU
# 19: resNOTb
# 20: resNANDb
# 21: resANDb
# 22: resORNb
# 23: resORb
# 24: resANDNb
# 25: resNORb
# 26: resXORb

0 61700 66300 66300 61700 66300 70900 70900 66300 66300 70900 70900 66300 61700 66300 66300 61700 99.4893 0.949037 0.949037 0.949037 0.949037 0.949037 0.949037 0.949037 0.949037 
100 61700 66300 66300 61700 66300 70900 70900 66300 66300 70900 70900 66300 61700 66300 66300 61700 6344.34 9.49104 9.49104 9.49104 9.49104 9.49104 9.49104 9.49104 9.49104 
200 61700 66300 66300 61700 66300 70900 70900 66300 66300 70900 70900 66300 61700 66300 66300 61700 8630.16 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 
300 61700 66300 66300 61700 66300 70900 70900 66300 66300 70900 70900 66300 61700 66300 66300 61700 9466.85 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 
400 61700 66300 66300 61700 66300 70900 70900 66300 66300 70900 70900 66300 61700 66300 66300 61700 9773.1 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 
500 61700 66300 66300 61700 66300 70900 70900 66300 66300 70900 70900 66300 61700 66300 66300 61700 9885.2 9.48826 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 
600 61700 66300 66300 61700 66300 70900 70900 66300 66300 70900 70900 66300 61700 66300 66300 61700 9926.23 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 
700 61700 66300 66300 61700 66300 70900 70900 66300 66300 70900 70900 66300 61700 66300 66300 61700 9941.25 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 
800 61700 66300 66300 61700 66300 70900 70900 66300 66300 70900 70900 66300 61700 66300 66300 61700 9946.75 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 
900 61700 66300 66300 61700 66300 70900 70900 66300 66300 70900 70900 66300 61700 66300 66300 61700 9948.76 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 
1000 61700 66300 66300 61700 66300 70900 70900 66300 66300 70900 70900 66300 61700 66300 66300 61700 9949.5 9.49127 9.47885 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 
1100 61700 66300 66300 61700 66300 70900 70900 66300 66300 70900 70900 66300 61700 66300 66300 61700 9949.77 9.49127 9.47754 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 
1200 61700 66300 66300 61700 66300 70900 70900 66300 66300 70900 70900 66300 61700 66300 66300 61700 9949.86 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 
1300 61700 66300 66300 61700 66300 70900 70900 66300 66300 70900 70900 66300 61700 66300 66300 61700 9949.9 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 
1400 61700 66300 66300 61700 66300 70900 70900 66300 66300 70900 70900 66300 61700 66300 66300 61700 9949.91 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 9.49127 
