# Mon Mar 23 04:02:50 2015
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 2 0.0234561 2 0 0.00229819 
5000 1 0 1 0 0 
6000 2 0.00701383 2 0 0.000574548 
7000 1 0 1 0 0 
8000 2 0.0209119 2 0 0.00201092 
9000 1 0 1 0 0 
10000 2 0.0128781 2 0 0.0011491 
11000 2 0.312602 2 0 0.0563057 
12000 2 0.66826 2 0 0.174662 
13000 2 0.60395 2 0 0.147659 
14000 2 0.700635 2 0 0.189601 
15000 3 0.754736 3 0 0.193048 
16000 3 0.678241 3 0.0011491 0.175812 
17000 2 0.641165 2 0 0.162884 
18000 3 0.635682 3 0.000574548 0.158862 
19000 2 0.644546 2 0 0.164321 
20000 2 0.611169 2 0 0.150531 
21000 2 0.518765 2 0 0.116346 
22000 2 0.563294 2 0 0.132146 
23000 4 0.627502 4 0.0011491 0.153117 
24000 2 0.625328 2 0 0.156277 
25000 2 0.682222 2 0 0.180982 
26000 2 0.603223 2 0 0.147371 
27000 2 0.522952 2 0 0.117782 
28000 2 0.566406 2 0 0.133295 
29000 2 0.62742 2 0 0.157139 
30000 2 0.566406 2 0 0.133295 
31000 2 0.643196 2 0 0.163746 
32000 2 0.587734 2 0 0.141339 
33000 2 0.644546 2 0 0.164321 
34000 2 0.606849 2 0 0.148808 
35000 2 0.497389 2 0 0.109164 
36000 2 0.598841 2 0 0.145648 
37000 2 0.526281 2 0 0.118931 
38000 2 0.571043 2 0 0.135019 
39000 2 0.598841 2 0 0.145648 
40000 2 0.63571 2 0 0.160586 
41000 2 0.703636 2 0 0.191037 
42000 2 0.61911 2 0 0.153736 
43000 2 0.703636 2 0 0.191037 
44000 2 0.647236 2 0 0.16547 
45000 3 0.802153 3 0 0.183621 
46000 3 1.22218 3 0 0.319161 
47000 4 1.35803 4 0.000861821 0.388107 
48000 4 1.2603 4 0.00316001 0.331227 
49000 3 1.22437 3 0 0.325 
50000 3 1.22732 3 0 0.323183 
51000 3 1.30361 3 0 0.360632 
52000 4 1.32357 4 0.00459638 0.359667 
53000 4 1.39287 4 0.00919276 0.390118 
54000 4 1.38977 4 0.00344828 0.400287 
55000 4 1.35606 4 0.00229819 0.382361 
56000 3 1.28643 3 0 0.351336 
57000 3 1.36281 3 0 0.397012 
58000 3 1.36809 3 0 0.402183 
59000 3 1.37247 3 0 0.402183 
60000 3 1.35703 3 0 0.391841 
61000 4 1.36089 4 0.000574548 0.391267 
62000 4 1.33913 4 0.00517093 0.366561 
63000 3 1.25712 3 0 0.33611 
64000 4 1.44553 4 0.0066073 0.428612 
65000 4 1.43352 4 0.0178212 0.407876 
66000 4 1.40371 4 0.00287274 0.410227 
67000 4 1.42192 4 0.00517093 0.415972 
68000 3 1.38262 3 0 0.407471 
69000 3 1.36419 3 0 0.395863 
70000 4 1.39364 4 0.00373456 0.405343 
71000 4 1.32632 4 0.00201092 0.366561 
72000 3 1.39447 3 0 0.416092 
73000 3 1.40744 3 0 0.427176 
74000 3 1.34352 3 0 0.38351 
75000 3 1.38738 3 0 0.411951 
76000 3 1.39368 3 0 0.415398 
77000 4 1.507 4 0.017811 0.458776 
78000 4 1.5332 4 0.0338983 0.462223 
79000 4 1.3246 4 0.000574548 0.37087 
80000 3 1.3598 3 0 0.397012 
81000 3 1.38115 3 0 0.407641 
82000 4 1.40101 4 0.00258546 0.415685 
83000 3 1.39635 3 0 0.417409 
84000 3 1.29838 3 0 0.357943 
85000 4 1.32205 4 0.000287274 0.370583 
86000 3 1.26835 3 0 0.342143 
