# Wed Apr  9 16:15:46 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 2 0.0886711 2 0 0.0112037 
5000 2 0.51718 2 0 0.115805 
6000 2 0.719623 2 0 0.198851 
7000 3 0.63303 3 0 0.151724 
8000 4 0.839111 4 0.000287439 0.203507 
9000 4 1.48615 4 0.0270037 0.428612 
10000 4 1.56531 4 0.0135019 0.507613 
11000 4 1.42889 4 0.0011491 0.435794 
12000 4 1.58462 4 0.0301637 0.496984 
13000 4 1.45238 4 0.00746912 0.43206 
14000 3 1.44249 3 0 0.450158 
15000 4 1.42024 4 0.000287274 0.431772 
16000 3 1.48238 3 0 0.484631 
17000 3 1.43135 3 0 0.442402 
18000 3 1.50401 3 0 0.505318 
19000 4 1.44047 4 0.00316001 0.43522 
20000 4 1.40576 4 0.0011491 0.418271 
21000 3 1.48086 3 0 0.483046 
22000 4 1.49944 4 0.0011491 0.492962 
23000 3 1.48164 3 0 0.48262 
24000 3 1.4599 3 0 0.464809 
25000 3 1.33591 3 0 0.38035 
26000 3 1.21598 3 0 0.321747 
27000 3 0.950646 3 0 0.232404 
28000 3 0.610105 3 0 0.147946 
29000 3 0.664715 3 0 0.170641 
30000 2 0.636395 2 0 0.160873 
31000 3 0.675571 3 0 0.164033 
32000 3 0.619574 3 0 0.147084 
33000 3 0.614543 3 0 0.139902 
34000 2 0.592944 2 0 0.14335 
35000 2 0.532885 2 0 0.12123 
36000 2 0.557808 2 0 0.130135 
37000 3 0.603053 3 0 0.142775 
38000 3 1.21315 3 0 0.322896 
39000 3 1.21082 3 0 0.314852 
40000 3 1.24258 3 0 0.333238 
41000 3 1.25767 3 0 0.343579 
42000 3 1.28688 3 0 0.360529 
43000 3 1.28554 3 0 0.359092 
44000 4 1.32937 4 0.000287274 0.387245 
45000 3 1.32101 3 0 0.383223 
46000 3 1.30821 3 0 0.370402 
47000 3 1.15627 3 0 0.295605 
48000 3 1.17497 3 0 0.298477 
49000 4 1.27624 4 0.000861821 0.354783 
50000 3 1.28518 3 0 0.362644 
51000 3 1.19711 3 0 0.318874 
52000 3 1.20746 3 0 0.343292 
53000 3 1.25908 3 0 0.352485 
54000 3 1.24713 3 0 0.34559 
55000 3 1.27891 3 0 0.354783 
56000 3 1.30568 3 0 0.38351 
57000 3 1.189 3 0 0.319736 
58000 3 1.13883 3 0 0.283539 
59000 3 1.26052 3 0 0.341569 
60000 3 1.15104 3 0 0.289572 
61000 3 1.29092 3 0 0.365125 
62000 3 1.24783 3 0 0.336972 
63000 3 1.28587 3 0 0.353059 
64000 3 1.27166 3 0 0.347027 
65000 3 1.20766 3 0 0.318874 
66000 3 1.3301 3 0 0.38592 
67000 3 1.35535 3 0 0.401609 
68000 3 1.23593 3 0 0.331514 
69000 3 1.19121 3 0 0.307383 
70000 4 1.29441 4 0.000287274 0.361678 
71000 3 1.28033 3 0 0.350187 
72000 3 1.25224 3 0 0.340994 
73000 4 1.37281 4 0.000862317 0.416499 
74000 4 1.39061 4 0.0341856 0.401034 
75000 4 1.34072 4 0.00603275 0.373743 
76000 4 1.31197 4 0.00718184 0.36254 
77000 4 1.31102 4 0.0203964 0.346165 
78000 3 1.25033 3 0 0.343005 
79000 3 1.28784 3 0 0.358908 
80000 3 1.30967 3 0 0.371158 
81000 3 1.31023 3 0 0.372594 
82000 3 1.32718 3 0 0.385234 
83000 4 1.50637 4 0.0284401 0.477449 
84000 3 1.25925 3 0 0.339845 
85000 3 1.31692 3 0 0.37403 
86000 3 1.40705 3 0 0.453318 
